"Reģistrācijas Nr.","IZM kods","Iestādes nosaukums","1.kl.","2.kl.","3.kl.","4.kl.","5.kl.","6.kl.","7.kl.","8.kl.","9.kl."
"2520901175","252501","Valmieras vājdzirdīgo bērnu internātvidusskola - attīstības centrs",21,13,14,15,15,9,4,13,10
"4112900052","261201","Ances pamatskola",4,8,14,3,7,7,3,3,8
"4112900049","261203","Popes pamatskola",10,8,7,10,9,8,11,8,9
"4112900054","261204","Puzes pamatskola",7,6,8,9,1,5,8,12,6
"4112900050","261205","Tārgales pamatskola",18,16,9,19,12,10,16,12,13
"4112900047","261206","Užavas pamatskola",7,7,2,11,8,9,11,12,11
"4112900544","261208","Zlēku pamatskola",3,4,4,2,7,2,5,2,6
"4112900046","261209","Zūru pamatskola",16,14,10,15,13,17,16,17,14
"4112900053","261211","Jūrkalnes pamatskola",6,1,3,2,3,3,0,5,2
"4113900543","261301","Piltenes vidusskola",11,13,10,14,11,13,9,9,16
"4113900055","261302","Ugāles vidusskola",22,31,21,23,14,36,16,21,26
"4122901132","262201","Stiklu internātpamatskola",5,0,7,0,7,7,10,16,27
"2712901237","271203","Daugavpils Saskaņas pamatskola",59,59,56,58,58,47,42,54,55
"2712902233","271210","Daugavpils Vienības pamatskola",81,51,51,58,64,61,32,33,19
"2712902175","271211","Daugavpils 11. pamatskola",18,26,24,24,19,24,28,31,58
"2719902518","271301","Daugavpils Valsts ģimnāzija",0,0,0,0,0,0,23,28,56
"2713901229","271302","Daugavpils Krievu vidusskola - licejs",60,63,64,60,55,84,60,55,51
"2713901037","271303","Daugavpils 3. vidusskola",90,90,78,56,57,81,60,53,47
"2713901222","271306","J. Raiņa Daugavpils 6. vidusskola",40,26,23,21,31,33,32,37,32
"2713901238","271309","Daugavpils 9. vidusskola",61,77,58,62,61,55,65,50,47
"2713900714","271310","Daugavpils 10. vidusskola",64,72,65,48,65,56,80,78,83
"2713901240","271312","Daugavpils 12. vidusskola",30,48,42,39,39,48,38,50,43
"2713901135","271313","Daugavpils 13. vidusskola",98,83,57,58,81,51,52,51,48
"2713901176","271315","Daugavpils 15. vidusskola",77,77,57,62,67,72,65,79,60
"2713901231","271316","Daugavpils 16. vidusskola",74,66,71,59,60,53,58,66,63
"2713901235","271318","Daugavpils 17. vidusskola",23,21,19,21,30,23,47,38,42
"2716901232","271319","J.Pilsudska Daugavpils valsts poļu ģimnāzija",37,26,29,28,34,20,29,17,23
"2713902243","271321","Daugavpils Centra vidusskola",65,51,50,52,58,47,49,45,44
"2722901223","272201","Daugavpils 1. speciālā pamatskola",3,3,8,6,2,6,6,7,32
"2720901224","272203","Daugavpils logopēdiskā internātpamatskola - attīstības centrs",43,24,25,28,23,21,23,20,18
"2811902953","281101","Jelgavas 3. sākumskola",142,99,131,114,89,99,0,0,0
"2811902954","281102","Jelgavas 4. sākumskola",182,145,164,155,150,137,0,0,0
"2812900143","281203","Jelgavas 2. pamatskola",73,67,85,85,61,75,55,35,49
"2812802996","281281","Lazdiņas privātā pamatskola ""Punktiņš""",3,1,1,1,0,0,0,0,0
