"municipality","school","renamed"
"Rēzekne","Rēzeknes Valsts ģimnāzija","NA"
"Rīga","Rīgas 1. privātā vidusskola","NA"
"Rīga","Rīgas 1. vakara (maiņu) vidusskola","NA"
"Rīga","Rīgas 1.vakara (maiņu) vidusskola (Iļģuciema cietums)","NA"
"Rīga","Rīgas 100. vidusskola","NA"
"Rīga","Rīgas 16. vidusskola","NA"
"Rīga","Rīgas 3. arodskola","NA"
"Rīga","Rīgas 3.arodskola","NA"
"Rīga","Rīgas 62. vidusskola","NA"
"Rīga","Rīgas 7. internātpamatskola","NA"
"Rīga","Rīgas 90. vidusskola","NA"
"Rīga","Rīgas 99. vidusskola","Rīgas Natālijas Draudziņas vidusskola"
"Rīga","Rīgas Baltkrievu pamatskola","NA"
"Rīga","Rīgas Būvniecības vidusskola","NA"
"Rīga","Rīgas Ezerkrastu vidusskola","Rīgas Ezerkrastu pamatskola"
"Rīga","Rīgas ģimnāzija ""Maksima""","NA"
"Rīga","Rīgas Herdera vidusskola","J.G.Herdera Rīgas Grīziņkalna vidusskola"
"Rīga","Rīgas Igauņu vidusskola","NA"
"Rīga","Rīgas komercģimnāzija","NA"
"Rīga","Rīgas Krievu vidusskola","J.G.Herdera Rīgas Grīziņkalna vidusskola"
"Rīga","Rīgas Lastādijas internātvidusskola","NA"
"Rīga","Rīgas Lastādijas internātvidusskola (Rīgas Centrālcietums)","NA"
"Rīga","Rīgas M. Lomonosova krievu vidusskola","NA"
"Rīga","Rīgas Natālijas Draudziņas vidusskola ","NA"
"Rīga","Rīgas pilsētas 2. ģimnāzija","Rīgas Valsts 2. ģimnāzija"
"Rīga","Rīgas pilsētas 3. ģimnāzija","Rīgas Valsts 3. ģimnāzija"
"Rīga","Rīgas Šampētera vidusskola","NA"
"Rīga","Rīgas Sergeja Žoltoka vidusskola (š.cietums)","NA"
"Rīga","Rīgas Stila un modes profesionālā vidusskola","NA"
"Iecavas novads","Rīgas Tālmācības vidusskola","NA"
"Rīga","Rīgas Tālmācības vidusskola","NA"
"Rīga","Rīgas Tirdzniecības tehnikums","Rīgas Tirdzniecības profesionālā vidusskola"
"Rīga","Rīgas Universālā vidusskola","Rīgas Ķengaraga vidusskola"
"Rīga","Rīgas Uzņēmējdarbības tehniskā skola","Rīgas Uzņēmējdarbības tehniskā vidusskola"
"Rīga","Rīgas Valsts 2.ģimnāzija","NA"
"Rīga","Rīgas Valsts tehnikums","NA"
"Rēzeknes novads","Rikavas pamatskola","NA"
"Rīga","RSEBAAs Profesionālā Vidusskola ""VICTORIA""","Profesionālā vidusskola ""VICTORIA"""
"Jēkabpils novads","Rubenes pamatskola","Rubenes pamatskola (Jēkabpils novads)"
"Kocēnu novads","Rubenes pamatskola","Rubenes pamatskola (Kocēnu novads)"
